structure,n,seconds_per_insert
Linear Search,10,1.246000174432993e-07
Linear Search,100,6.68501015752554e-08
Linear Search,1000,6.834999658167362e-08
Linear Search,10000,4.569999873638153e-08
Linear Search,100000,1.1925003491342067e-07
Linear Search,1000000,7.320998702198267e-07
Binary Search,10,1.1433500330895185e-06
Binary Search,100,1.391350058838725e-06
Binary Search,1000,2.031800104305148e-06
Binary Search,10000,3.244949970394373e-06
Binary Search,100000,1.77326500415802e-05
Binary Search,1000000,0.00017142769997008145
Hash Table,10,7.652899948880077e-06
Hash Table,100,7.312600035220385e-06
Hash Table,1000,6.160249933600426e-06
Hash Table,10000,4.073200048878789e-06
Hash Table,100000,3.184249857440591e-06
Hash Table,1000000,3.4397998824715613e-06
