structure,n,seconds_per_lookup
Linear Search,10,3.0415841579404983e-07
Linear Search,100,2.3731818179261276e-06
Linear Search,1000,2.0860100000390957e-05
Linear Search,10000,9.211965000031341e-05
Linear Search,100000,0.0009158960000004299
Linear Search,1000000,0.008504901950000204
Binary Search,10,4.327722785776564e-07
Binary Search,100,1.1064545453171542e-06
Binary Search,1000,9.663999999247608e-07
Binary Search,10000,1.2512499997683336e-06
Binary Search,100000,2.265050000460178e-06
Binary Search,1000000,4.394500000671542e-06
Hash Table,10,2.82326732618944e-06
Hash Table,100,3.157909091400639e-06
Hash Table,1000,1.5077500002007581e-06
Hash Table,10000,1.58354999985022e-06
Hash Table,100000,2.0942000001014095e-06
Hash Table,1000000,1.9202499997845736e-06
Bloom Filter,10,4.642772278157731e-06
Bloom Filter,100,4.840454545377394e-06
Bloom Filter,1000,5.129999999553548e-06
Bloom Filter,10000,4.267250000339118e-06
Bloom Filter,100000,4.1781500003708064e-06
Bloom Filter,1000000,5.111500000566593e-06
Cuckoo Filter,10,5.494851485300477e-06
Cuckoo Filter,100,3.979454544274962e-06
Cuckoo Filter,1000,5.0435500006642544e-06
Cuckoo Filter,10000,4.5472500005416805e-06
Cuckoo Filter,100000,5.053450000559679e-06
Cuckoo Filter,1000000,4.386700000395649e-06
